refno,pump_rate
224749,0.5
224691,7.5
225453,1
225454,7
234987,20
234649,1
225379,15
224694,5
224699,0.17
216900,5
225388,13
225444,25
348825,7
224754,5
400365,15
400369,15
224706,1.25
225408,1.5
243183,1
224696,0.5
224689,1.5
234654,7
235305,13
234634,3
422781,3
234981,19
234639,7
309245,2
48743,15
243177,8
225343,20
235092,4
251658,6
242649,6
242654,1.5
242659,20
243227,9
224648,2.5
224797,4
75238,5
417210,15
274808,9
242669,10
234966,10
225413,20
235087,18
216909,2
225363,17
381002,25
217035,7
235006,20
235082,10
224762,2
234991,10
424480,5
303931,15
225368,15
234961,10
224759,1
234941,8
235001,11
263325,1
234986,10
234946,10
234931,20
225348,5
234936,15
234921,10
406754,10
225358,23
235102,5
247144,20
247163,23
247204,10
247224,7
247218,23
247129,12
424871,12
247147,15
234996,7
235270,14
247168,14
309177,20
235275,18
247122,17
247213,14
235290,7
247143,10
247229,7
263240,11
235016,9
225442,12
234956,15
217020,2
234548,20
424867,8
235107,18
263443,10
234916,12
262956,25
234659,7
224711,7
234911,10
243242,2.5
262912,21
262946,25
235280,20
225432,8
262957,25
303897,15
217038,5
262917,15
217033,1
247148,10
225427,18
234543,20
262846,10
262857,17
262927,15
217043,2
234553,0.5
235265,18
234951,15
216949,9
225422,18
243212,3
216984,1.5
235077,15
329561,10
303922,12
42767,15
225373,18
224653,5
216884,2
224684,1
225417,15
217032,4
224657,2
225338,7
274804,7
225353,7
216979,527
407436,5
224583,4.5
217084,2
261935,28
323269,1.5
323270,2
218864,20
231474,20
247127,17
248436,50
251182,5
262936,10
262941,8
380347,12
380362,57
422162,15
234906,30
348820,1.5
234901,15
247162,25
216914,2
224578,5
235345,15
225342,8
224603,25
243247,6
235097,8
252282,15
276010,1000
276011,890
276012,1013
324199,1001
324200,1001
343284,6
235340,10
225382,6
217025,1
235350,20
231949,10
247132,26
303891,18
235330,15
216969,35
424418,15
424422,15
216999,6
217028,1.3
217037,0.5
1149,15
235335,15
304187,3
225387,20
224633,2
224568,3
224638,2
224618,0.5
234578,10
235325,12
262871,8
224563,2
309220,15
224573,1
224623,24
224678,2
42802,23
42797,5
224714,0.5
216974,5
303920,10
303890,11
224709,12
216403,10
224716,10
309188,8
224704,2
216413,0.5
243267,20
432357,7
225352,3
225452,20
48733,20
235023,10
235137,3
225337,10
235048,10
225447,15
234563,15
216457,200
216452,6.7
303889,10
264175,2
224677,30
235028,1.5
224719,4
247184,15
247128,20
225377,10
235112,7
216520,2
263320,2
224593,5
224632,2.5
224588,5
225437,13
224652,3
224608,4
235127,12
216497,2
216408,6.7
225397,5
217048,10
235132,5
225347,4
216450,1
215985,40
224642,4
243168,10
309174,7
235117,8
219007,6
442566,12
262911,10
261980,22
216512,18.3
235033,6
234568,5
216445,4
216482,8.3
309173,12
216517,10
216632,65
262902,20
224667,15
234583,5
243173,8
224637,3
225402,7.5
216521,1
303923,10
243187,2
216447,10
243197,1.5
216510,0.05
247152,15
224598,8
224672,2.5
224647,8
215990,15
216462,0.33
235310,15
283674,2
234573,10
309197,4
216515,0.5
304190,5.5
224662,15
215980,8
338821,5
243163,20
231306,7
225412,8
235315,15
216703,8
216637,1
219038,1
242664,0.5
225407,17
216505,0.07
219012,0.75
225362,2
263260,4
225357,7
323268,2
262872,20
225392,14
216858,15
216526,5
216502,10
70645,6.5
218855,26
216489,30
216567,10
216504,8
243272,10
242634,6
240240,6
216892,4
219000,0.07
219028,1.17
218880,20
216818,20
219018,5
216863,15
216407,6.7
389768,10
218968,1.33
218963,0.25
219033,1
219023,1
218890,15
218921,16
218845,20
216833,7
218985,0.5
309181,20
218850,18
216823,10
216803,10
216417,0.17
309235,10
218875,8
216000,5
216577,2.3
216912,15
309246,5
216882,10
263353,10
216562,10
216878,15
216947,10
218805,15
216932,25
216713,5
216927,20
216808,10
216922,10
218895,0.5
219030,1
216843,5
218967,7.5
216887,8
418304,25
247233,15
218910,11
263361,2.5
418284,7
218865,7
216873,7
215995,10
247238,12
216582,5
216859,2
216718,1.5
218885,12
247123,20
216828,8
216708,4
216961,10
247169,13
247194,20
247142,15
263245,15
216470,15
412399,5
263387,2
263438,9
216864,25
263364,20
216728,3
432584,7
247153,5
216869,2
219034,4
263396,5
218905,10
263338,8.5
216897,15
216722,6
216902,10
216937,10
263300,8
263388,12
216601,2
216874,5
216477,8.3
263326,20
380337,400
263442,10
380397,16
216472,3
216868,10
218815,5
261950,10
261955,9
262916,12
262926,10
216576,1
216917,3
219024,1.5
219029,10
262852,6
216460,0.58
214366,15
216972,10
218860,6
216723,5
216412,15
218810,20
216813,13
243257,20
215925,10
218994,1.5
216848,8
410591,10
398559,3
216752,50
346341,205
346342,70
346343,167
216907,15
216853,11
218983,1
216531,0.03
216581,0.67
216834,10
216832,10
216812,5
216962,20
216465,0.25
216449,20
216862,4
218987,6
431473,8
216747,3
215948,8
216877,13
216742,1
216814,1.5
216817,5
218972,3
216872,7
216997,3.75
218977,1.5
216807,7
216778,20
216867,3
216822,4
216977,35
216402,5
216829,1.5
216857,25
216837,3
3460,7
216762,13
418245,10
380765,8
380769,10
218929,300
216437,1.5
237216,4
263329,20
216881,10
216798,9
216842,4
261990,7
389738,15
243178,3.5
309237,5
216809,1
216737,5
216936,3.4
218982,5
242674,1.5
214368,20
216971,12
216587,20
242644,30
216921,15
216479,12
216768,15
216788,8
216926,15
216763,6
216767,6
216454,1
216996,10
240214,13
216824,0.5
216827,3
216480,8.3
264296,13
216596,2
243262,3
237206,15
216879,13
420008,12
216941,18
263369,10
216987,150
216804,2.5
263255,5.5
261970,11
216802,7.5
263421,5
216976,1.5
216542,5
263373,27
216992,5
389769,8
218830,8
216536,0.3
216991,10
263359,13
216793,10
261940,20
216847,10
216852,3
219020,0.5
309180,15
309185,25
216951,2
219015,0.5
243277,10
303929,6
216886,15
283679,4
218992,2
218997,1
243162,10
303928,11
216931,20
214367,15
242639,0.5
309236,4
216432,3.3
216682,4
216956,8
216783,22
216819,5
218825,8
216838,15
216427,8
216537,4
218820,7
262882,10
243188,7
380392,12
216727,5
216687,0.5
216773,10
247134,7
3370,0.5
242756,2.5
216789,7
216602,0.67
216876,8
218993,0.125
216871,20
216966,10
262877,10
216782,7.5
263349,20
216527,6
216522,0.5
218834,20
216986,10
216441,10
216851,15
215940,10
219006,2
219002,5
216597,1
219011,1
215930,4
237211,6
216774,12
309179,1
216856,30
382929,10
216039,0.8
215935,5
215955,15
412395,10
216784,25
218908,8
263333,10
218819,10
216777,2.5
216797,12
218899,15
240220,25
216757,8
218909,10
216846,10
218904,15
263408,20
218809,15
216532,4
219014,3
391285,8
216697,6
219022,2
237201,6
218814,20
216769,20
218962,0.33
218804,20
218988,5
218944,0.5
240274,6
393553,7.5
216541,0.17
218874,20
218869,20
216792,5
216993,290
218879,20
247183,8
247188,15
309183,15
247137,14
247178,6
218919,12
216556,500
218844,20
218914,15
218854,18
218849,12
216839,5
218859,12
216861,13
216029,10
237221,0.25
218894,20
263358,23
263343,15
218893,20
216551,1.5
218898,10
216906,8
263363,27
263416,5
263423,15
216503,5
218913,5
218824,15
262887,30
263327,7
216509,50
216988,100
216498,3
216009,9
216901,10
240224,1.5
216491,8
216896,10
262942,20
262952,20
216983,100
216501,16
263391,7
216968,10
262881,22
216004,25
216692,2
218889,4
218888,10
216911,15
218840,12
216410,4.5
216844,18
216546,0.5
216513,30
216702,18
216414,0.33
218884,7
263341,20
215960,10
216469,2.5
381959,20
389742,25
218883,7
218918,15
218835,15
263371,14
216764,1
216866,5
216779,1.5
218903,15
241459,1
412735,15
420115,100
27170,2
216726,6
252396,7
240194,0.5
216799,1
216707,5
218996,1.5
412328,10
216772,10
216787,10
216978,60
216841,5
218839,20
216461,3
348164,40
218923,0.2
216973,600
216766,7
218986,10
216506,1
216519,4
262896,10
216963,15
219001,3
216617,0.83
216781,8
216791,10
216464,10
240164,5.5
216456,6
219032,0.5
216826,12
216446,10
216695,5
216508,1.5
216786,8
216796,8
218966,10
219036,12
216486,10
216645,5
216468,4
216496,3.3
216478,1.7
218991,8
216476,1.5
216404,1.5
216690,5
216691,14
216845,0.5
216721,8
216662,30
216717,5
216401,8
215928,167
216821,8
216024,4
309196,3
216642,4
216701,1
216667,10
263418,12
240250,12
216806,7
216836,10
216761,12
309189,4
216705,5
218833,8
216483,2
216831,13
216019,3
216466,0.33
218907,15
216855,15
215964,8
219031,12
218971,10
215923,6
218843,5
240204,18
216776,10
218981,2
216409,8
218823,15
218808,15
218818,15
218813,15
219003,12
214364,15
216734,1
216801,20
216811,15
412336,50
215943,20
263403,12
219008,5
216696,3
216686,4
216739,8
309233,30
216547,20
216650,18
218902,13
240273,2
216655,5
216928,12
240280,13
216660,10
247203,14
247228,7
216724,6
247208,14
216750,10
218887,1.25
218838,5
216715,18
216712,10
216514,6.7
218892,15
216680,5
216647,7
415817,8
263354,14
240170,18
216730,10
216744,10
263398,25
216755,10
216731,12
247133,14
263310,23
216488,5
216736,9
309232,20
216740,10
255328,5
218878,20
216677,10
262847,12
262891,15
